Team Number,Teleop Cycles
2412.0,1.0
2363.0,7.3
1731.0,7.090909090909091
1727.0,6.5
1123.0,5.6
422.0,5.818181818181818
449.0,4.7
4472.0,5.0
4099.0,5.9
8592.0,6.545454545454546
836.0,6.363636363636363
401.0,7.8
346.0,5.8
1262.0,3.4
7770.0,3.1
611.0,2.909090909090909
3373.0,3.0
1389.0,3.3
2106.0,3.6
2377.0,3.5
3939.0,4.4
8230.0,1.8181818181818181
1599.0,4.454545454545454
1418.0,3.75
1629.0,4.6
4456.0,3.1
2068.0,1.3
9072.0,2.272727272727273
1086.0,2.9
612.0,2.9
8622.0,2.1818181818181817
1895.0,2.4
8726.0,3.5
614.0,4.9
6802.0,3.3636363636363638
623.0,5.9
977.0,2.909090909090909
5724.0,4.9
2628.0,1.0
620.0,2.4
1908.0,4.3
384.0,5.8
4541.0,5.0
6863.0,1.9
9033.0,2.7
116.0,3.9
2537.0,3.1
1111.0,4.4
5115.0,3.2
5587.0,3.0
1610.0,4.8
686.0,5.1
1999.0,3.0
2421.0,2.5454545454545454
3136.0,4.545454545454546
888.0,3.6
5338.0,4.9
2199.0,3.5454545454545454
2028.0,3.1818181818181817
5804.0,6.181818181818182
5549.0,3.5
6326.0,3.7
122.0,3.5
